序号,股票代码,股票简称,主营行业
1,688981,中芯国际,电子设备
2,688599,天合光能,电气设备
3,688506,百利天恒,医药生物
4,688472,阿特斯,电子设备
5,688396,华润微,电子设备
6,688303,大全能源,电气设备
7,688271,联影医疗,医药生物
8,688256,寒武纪,电子设备
9,688223,晶科能源,电气设备
10,688187,时代电气,交运设备
11,688169,石头科技,机械设备
12,688126,沪硅产业,电子设备
13,688111,金山办公,信息技术
14,688082,盛美上海,电子设备
15,688047,龙芯中科,信息技术
16,688041,海光信息,电子设备
17,688036,传音控股,电子设备
18,688012,中微公司,电子设备
19,688009,中国通号,交运设备
20,688008,澜起科技,电子设备
21,605499,东鹏饮料,食品饮料
22,605117,德业股份,家电
23,603993,洛阳钼业,有色金属
24,603986,兆易创新,电子设备
25,603833,欧派家居,轻工制造
26,603806,福斯特,电气设备
27,603799,华友钴业,有色金属
28,603501,豪威集团,电子设备
29,603392,万泰生物,医药生物
30,603369,今世缘,食品饮料
31,603296,华勤技术,电子设备
32,603288,海天味业,食品饮料
33,603260,合盛硅业,有色金属
34,603259,药明康德,医药生物
35,603195,公牛集团,电气设备
36,603019,中科曙光,信息技术
37,601998,中信银行,金融
38,601995,中金公司,金融
39,601988,中国银行,金融
40,601985,中国核电,公用事业
41,601939,建设银行,金融
42,601919,中远海控,交通运输
43,601916,浙商银行,金融
44,601901,方正证券,金融
45,601899,紫金矿业,有色金属
46,601898,中煤能源,化石能源
47,601888,中国中免,商贸零售
48,601881,中国银河,金融
49,601878,浙商证券,金融
50,601877,正泰电器,电气设备
51,601872,招商轮船,交通运输
52,601868,中国能建,建筑
53,601865,福莱特,电气设备
54,601857,中国石油,化石能源
55,601838,成都银行,金融
56,601825,沪农商行,金融
57,601818,光大银行,金融
58,601816,京沪高铁,交通运输
59,601808,中海油服,化石能源
60,601800,中国交建,建筑
61,601799,星宇股份,交运设备
62,601788,光大证券,金融
63,601766,中国中车,交运设备
64,601728,中国电信,信息技术
65,601699,潞安环能,化石能源
66,601698,中国卫通,信息技术
