stock,name,positive_score,negative_score,avg_confidence
688981,中芯国际,0.6319756975517486,0.36802430244825135,0.9447841182538523
688599,天合光能,0,0,0
688506,百利天恒,0,0,0
688472,阿特斯,0,0,0
688396,华润微,0,0,0
688303,大全能源,0,0,0
688271,联影医疗,0,0,0
688256,寒武纪,0,0,0
688223,晶科能源,0,0,0
688187,时代电气,0,0,0
688169,石头科技,0,0,0
688126,沪硅产业,0,0,0
688111,金山办公,0,0,0
688082,盛美上海,0,0,0
688047,龙芯中科,0,0,0
688041,海光信息,0,0,0
688036,传音控股,0,0,0
688012,中微公司,0,0,0
688009,中国通号,0,0,0
688008,澜起科技,0,0,0
605499,东鹏饮料,0,0,0
605117,德业股份,0,0,0
603993,洛阳钼业,0,0,0
603986,兆易创新,0,0,0
603833,欧派家居,0.5789801752374998,0.4210198247625002,0.9538859793118069
603806,福斯特,0.5651818945059477,0.4348181054940523,0.9223446100950241
603799,华友钴业,0,0,0
603501,豪威集团,0.5561380950232282,0.4438619049767718,0.8954937512224371
603392,万泰生物,0,0,0
603369,今世缘,0.7596282124437426,0.24037178755625743,0.9165354520082474
603296,华勤技术,0,0,0
603288,海天味业,0.6868073803105033,0.31319261968949674,0.9610002578600593
603260,合盛硅业,0,0,0
603259,药明康德,0.7201260159704287,0.2798739840295713,0.9779626336964694
603195,公牛集团,0,0,0
603019,中科曙光,0.6718409160175187,0.3281590839824813,0.9108571171760559
601998,中信银行,0,0,0
601995,中金公司,0,0,0
601988,中国银行,0,0,0
601985,中国核电,0,0,0
601939,建设银行,0.7289657667952761,0.27103423320472386,0.9050569832324982
601919,中远海控,0,0,0
601916,浙商银行,0,0,0
601901,方正证券,0,0,0
601899,紫金矿业,0.5577618618758312,0.4422381381241688,0.9328089529468168
601898,中煤能源,0.3746832171990824,0.6253167828009176,0.902009918139531
601888,中国中免,0.5016108272749258,0.4983891727250742,0.941520023152111
601881,中国银河,0,0,0
601878,浙商证券,0,0,0
601877,正泰电器,0,0,0
601872,招商轮船,0,0,0
601868,中国能建,0,0,0
601865,福莱特,0.611095313249199,0.38890468675080103,0.9507937555511793
601857,中国石油,0.4612028730640308,0.5387971269359693,0.9434757968958687
601838,成都银行,0,0,0
601825,沪农商行,0,0,0
601818,光大银行,0.5478403463665673,0.4521596536334327,0.934063732624054
601816,京沪高铁,0,0,0
601808,中海油服,0.6759866033576533,0.32401339664234674,0.9141372889280319
601800,中国交建,0,0,0
601799,星宇股份,0.5821434077691023,0.41785659223089766,0.9493679801623026
601788,光大证券,0,0,0
601766,中国中车,0.8263466439983314,0.17365335600166865,0.9461716115474701
601728,中国电信,0,0,0
601699,潞安环能,0.4206272458800164,0.5793727541199836,0.9657785861115706
601698,中国卫通,0,0,0
601689,拓普集团,0.2791179088306398,0.7208820911693602,0.9775278908865792
601688,华泰证券,0.7624390335418455,0.2375609664581545,0.915277387784875
601669,中国电建,0,0,0
601668,中国建筑,0.7761896082849147,0.22381039171508532,0.8774883985519409
601658,邮储银行,0,0,0
601633,长城汽车,0.6683489158598642,0.3316510841401358,0.963507348464595
601628,中国人寿,0.6122512135961112,0.38774878640388877,0.9481287101904551
601618,中国中冶,0,0,0
601607,上海医药,0,0,0
601601,中国太保,0.6442158212140702,0.3557841787859298,0.9549323879182339
601600,中国铝业,0,0,0
601398,工商银行,0,0,0
601390,中国中铁,0.6713631378255803,0.3286368621744197,0.9412905772527059
601377,兴业证券,0,0,0
601360,三六零,0,0,0
601336,新华保险,0.5524511196550007,0.4475488803449993,0.9579251170158386
601328,交通银行,0,0,0
601319,中国人保,0,0,0
601318,中国平安,0.7385956863971935,0.26140431360280647,0.9168612990114424
601298,青岛港,0.767092451912997,0.23290754808700298,0.9465617736180624
601288,农业银行,0,0,0
601238,广汽集团,0.831784633253171,0.16821536674682902,0.9509596586227417
601236,红塔证券,0,0,0
601229,上海银行,0.510813951870459,0.48918604812954103,0.9295787811279297
601225,陕西煤业,0,0,0
601211,国泰海通,0,0,0
601186,中国铁建,0,0,0
601169,北京银行,0,0,0
601166,兴业银行,0,0,0
601138,工业富联,0,0,0
601136,首创证券,0,0,0
601127,赛力斯,0,0,0
601117,中国化学,0,0,0
601111,中国国航,0.15542215953448543,0.8445778404655145,0.9410417348146438
601100,恒立液压,0.6848734661886792,0.31512653381132083,0.9570621906257257
601088,中国神华,0.5204015510110761,0.4795984489889239,0.9654725808650255
601077,渝农商行,0,0,0
601066,中信建投,0,0,0
601059,信达证券,0,0,0
601058,赛轮轮胎,0,0,0
601021,春秋航空,0,0,0
601012,隆基绿能,0.5218403070972659,0.4781596929027341,0.9339111093747414
601009,南京银行,0.46812998745732015,0.5318700125426798,0.9434086799621582
601006,大秦铁路,0,0,0
600999,招商证券,0.5502199580264442,0.4497800419735558,0.9589083075523377
600989,宝丰能源,0,0,0
600958,东方证券,0.7109813683590206,0.2890186316409794,0.9505125330044673
600941,中国移动,0,0,0
600938,中国海油,0,0,0
600926,杭州银行,0,0,0
600919,江苏银行,0,0,0
600918,中泰证券,0,0,0
600905,三峡能源,0,0,0
600900,长江电力,0.5629233292916171,0.43707667070838285,0.9445473636899676
600893,航发动力,0.6777301020799533,0.3222698979200467,0.9738220810890198
600887,伊利股份,0.6349236767996701,0.3650763232003299,0.932730071246624
600886,国投电力,0,0,0
600875,东方电气,0,0,0
600845,宝信软件,0.6835824425854284,0.31641755741457156,0.9399786765376726
600809,山西汾酒,0.4399662160654113,0.5600337839345887,0.9194368464606149
600803,新奥股份,0.7253772728677044,0.27462272713229563,0.9805940660563383
600795,国电电力,0,0,0
600760,中航沈飞,0.4859050926020205,0.5140949073979795,0.9512466617992946
600741,华域汽车,0,0,0
600690,海尔智家,0,0,0
600674,川投能源,0,0,0
600660,福耀玻璃,0.5238761300307663,0.4761238699692337,0.9267101969037738
600600,青岛啤酒,0,0,0
600588,用友网络,0.7937059695579844,0.20629403044201555,0.9339129209518433
600585,海螺水泥,0.5057987605904514,0.49420123940954863,0.8973651435226202
600584,长电科技,0,0,0
600570,恒生电子,0.9090152461040307,0.09098475389596927,0.9749187344596499
600547,山东黄金,0.33352863191705007,0.6664713680829499,0.9311792344758005
600519,贵州茅台,0.3762679232677177,0.6237320767322823,0.9245349427928096
600515,海南机场,0,0,0
600489,中金黄金,0,0,0
600482,中国动力,0,0,0
600460,士兰微,0,0,0
600438,通威股份,0.6465995970058692,0.3534004029941308,0.9415944548522901
600436,片仔癀,0.730395288527121,0.269604711472879,0.9795092358821775
600426,华鲁恒升,0.5924106200817425,0.4075893799182575,0.9346022592349486
600415,小商品城,0,0,0
600406,国电南瑞,0,0,0
600377,宁沪高速,0,0,0
600372,中航机载,0.4644851483039523,0.5355148516960477,0.9724596017285397
600362,江西铜业,0.5082895883965528,0.4917104116034472,0.9692804557936532
600346,恒力石化,0.46194380505034577,0.5380561949496543,0.956066642052088
600332,白云山,0.7154459973230908,0.2845540026769092,0.9861072046416146
600309,万华化学,0.4890681966380284,0.5109318033619716,0.9654419042847373
600276,恒瑞医药,0.6520268374335665,0.3479731625664335,0.9087412227755007
600233,圆通速递,0,0,0
600219,南山铝业,0,0,0
600196,复星医药,0.5161960912359839,0.48380390876401613,0.9538712072372436
600188,兖矿能源,0.5658618032039513,0.4341381967960487,0.9787498116493225
600183,生益科技,0.4208692806424475,0.5791307193575526,0.9067883342504501
600176,中国巨石,0.5029992610361161,0.49700073896388386,0.968933355808258
600161,天坛生物,0,0,0
600160,巨化股份,0.777779465900385,0.22222053409961495,0.9315001294016838
600150,中国船舶,1.0,0.0,0.9956035137176513
600115,中国东航,0,0,0
600111,北方稀土,0,0,0
600104,上汽集团,0.50546439738499,0.49453560261500995,0.9480376910595667
600089,特变电工,0,0,0
600085,同仁堂,0,0,0
600066,宇通客车,0,0,0
600061,国投资本,0,0,0
600050,中国联通,0.8193968021791963,0.1806031978208037,0.9648999676108361
600048,保利发展,0,0,0
600039,四川路桥,0,0,0
600036,招商银行,0.6679046444128673,0.33209535558713266,0.9256999012496736
600031,三一重工,0.7441194859918377,0.25588051400816225,0.9449304774403572
600030,中信证券,0.6449307587647731,0.3550692412352269,0.9575979585078225
600029,南方航空,0,0,0
600028,中国石化,0.34987175803625836,0.6501282419637416,0.9328734895639252
600027,华电国际,0.40248879268014737,0.5975112073198526,0.959080273690431
600026,中远海能,0,0,0
600025,华能水电,0,0,0
600023,浙能电力,0,0,0
600019,宝钢股份,0.6273081140151178,0.37269188598488223,0.964189703647907
600018,上港集团,0,0,0
600016,民生银行,0,0,0
600015,华夏银行,0,0,0
600011,华能国际,0.30906659630632494,0.6909334036936751,0.9478059027876172
600010,包钢股份,0,0,0
600009,上海机场,0.5993036111377869,0.40069638886221315,0.9283796411294204
600000,浦发银行,0.35511472545833245,0.6448852745416676,0.8869689454634985
302132,中航成飞,0,0,0
301269,华大九天,0,0,0
301236,软通动力,0,0,0
300999,金龙鱼,0,0,0
300979,华利集团,0,0,0
300896,爱美客,0,0,0
300832,新产业,0,0,0
300782,卓胜微,0,0,0
300760,迈瑞医疗,0.8800383123841068,0.11996168761589321,0.9673593504862352
300759,康龙化成,0.6586953841687302,0.3413046158312698,0.9415565512397073
300750,宁德时代,0.5918354300781394,0.40816456992186056,0.9458755579861727
300661,圣邦股份,0.6667898245578535,0.3332101754421465,0.9897173245747884
300628,亿联网络,0.8209789571530904,0.17902104284690956,0.9295088549455007
300502,新易盛,0,0,0
300498,温氏股份,0.48761462819528684,0.5123853718047131,0.9425937732060751
300442,润泽科技,0,0,0
300433,蓝思科技,0,0,0
300418,昆仑万维,0.5288646704802118,0.4711353295197882,0.9848835786183675
300413,芒果超媒,0.6040378521824427,0.39596214781755734,0.9511882219995771
300408,三环集团,0.6723492163037379,0.3276507836962621,0.9257348239421844
300394,天孚通信,0,0,0
